Probe	Ensembl
ZMYM4_IL2329752	ENSG00000146463
NCDN_IL2329887	ENSG00000020129
TFAP2E_IL2329920	ENSG00000116819
PSMB2_IL2406245	ENSG00000126067
C1orf216_IL2406412	ENSG00000142686
CLSPN_IL2406420	ENSG00000092853
TEKT2_IL2330234	ENSG00000092850
ADPRHL2_IL2330253	ENSG00000116863
COL8A2_IL2406579	ENSG00000171812
TRAPPC3_IL2406597	ENSG00000054116
MAP7D1_IL2330289	ENSG00000116871
THRAP3_IL2330334	ENSG00000054118
STK40_IL2406677	ENSG00000196182
LSM10_IL2406722	ENSG00000181817
OSCP1_IL2406735	ENSG00000116885
MRPS15_IL2406766	ENSG00000116898
CSF3R_IL2406783	ENSG00000119535
GRIK3_IL2406926	ENSG00000163873
ZC3H12A_IL2330687	ENSG00000163874
MEAF6_IL2407128	ENSG00000163875
SNIP1_IL2407163	ENSG00000163877
DNALI1_IL2330723	ENSG00000163879
GNL2_IL2407191	ENSG00000134697
C1orf109_IL2407250	ENSG00000116922
CDCA8_IL2330773	ENSG00000134690
EPHA10_IL2407314	ENSG00000183317
MANEAL_IL2330843	ENSG00000185090
INPP5B_IL4043943	ENSG00000204084
SF3A3_IL2407439	ENSG00000183431
FHL3_IL2407478	ENSG00000183386
UTP11L_IL2330899	ENSG00000183520
RRAGC_IL2407729	ENSG00000116954
MYCBP_IL2407755	ENSG00000214114
RHBDL2_IL2407786	ENSG00000158315
AKIRIN1_IL2331158	ENSG00000174574
NDUFS5_IL2331178	ENSG00000168653
MACF1_IL2331213	ENSG00000127603
BMP8B_IL2408062	ENSG00000182109
PABPC4_IL2407934	ENSG00000090621
HEYL_IL2407985	ENSG00000163909
HPCAL4_IL2408041	ENSG00000116983
PPIE_IL2331602	ENSG00000084072
BMP8A_IL2331511	ENSG00000116985
TRIT1_IL2408111	ENSG00000043514
MFSD2A_IL2331679	ENSG00000168389
CAP1_IL2331727	ENSG00000131236
PPT1_IL2408189	ENSG00000131238
RLF_IL2331771	ENSG00000117000
ZMPSTE24_IL2331822	ENSG00000084073
COL9A2_IL2408244	ENSG00000049089
SMAP2_IL2331857	ENSG00000084070
ZNF684_IL2331974	ENSG00000117010
RIMS3_IL2408351	ENSG00000117016
NFYC_IL2332013	ENSG00000066136
KCNQ4_IL2332091	ENSG00000117013
CITED4_IL2408437	ENSG00000179862
SLFNL1_IL2408477	ENSG00000171790
SCMH1_IL2408499	ENSG00000010803
HIVEP3_IL2408681	ENSG00000127124
FOXJ3_IL2408855	ENSG00000198815
ZMYND12_IL2408929	ENSG00000066185
PPCS_IL2332566	ENSG00000127125
CCDC30_IL2332583	ENSG00000186409
PPIH_IL2332711	ENSG00000171960
LEPRE1_IL2409004	ENSG00000117385
C1orf50_IL2332767	ENSG00000164008
CCDC23_IL2409069	ENSG00000177868
ERMAP_IL2332812	ENSG00000164010
ZNF691_IL2332855	ENSG00000164011
SLC2A1_IL2409104	ENSG00000117394
WDR65_IL2332999	ENSG00000243710
TIE1_IL2333051	ENSG00000066056
MPL_IL2333107	ENSG00000117400
CDC20_IL2333136	ENSG00000117399
ELOVL1_IL2409310	ENSG00000066322
MED8_IL2409344	ENSG00000159479
HYI_IL2409368	ENSG00000178922
PTPRF_IL2333318	ENSG00000142949
KDM4A_IL2333429	ENSG00000066135
ST3GAL3_IL2333481	ENSG00000126091
IPO13_IL2333599	ENSG00000117408
DPH2_IL2333635	ENSG00000132768
ATP6V0B_IL2333658	ENSG00000117410
B4GALT2_IL2333678	ENSG00000117411
CCDC24_IL2333707	ENSG00000159214
SLC6A9_IL2409507	ENSG00000196517
DMAP1_IL2333794	ENSG00000178028
RNF220_IL2333907	ENSG00000187147
TMEM53_IL2409770	ENSG00000126106
C1orf228_IL2334052	ENSG00000198520
KIF2C_IL2334098	ENSG00000142945
BEST4_IL2409820	ENSG00000142959
PLK3_IL2334191	ENSG00000173846
PTCH2_IL2409847	ENSG00000117425
EIF2B3_IL2409904	ENSG00000070785
HECTD3_IL2409970	ENSG00000126107
UROD_IL2334279	ENSG00000126088
HPDL_IL2334314	ENSG00000186603
MUTYH_IL2410111	ENSG00000132781
TOE1_IL2334319	ENSG00000132773
TESK2_IL2410158	ENSG00000070759
MMACHC_IL2334350	ENSG00000132763
PRDX1_IL2410241	ENSG00000117450
AKR1A1_IL2334374	ENSG00000117448
NASP_IL2334404	ENSG00000132780
CCDC17_IL2410283	ENSG00000159588
GPBP1L1_IL2410330	ENSG00000159592
TMEM69_IL2334459	ENSG00000159596
MAST2_IL2334476	ENSG00000086015
PIK3R3_IL2410470	ENSG00000117461
POMGNT1_IL2410522	ENSG00000085998
RAD54L_IL2334646	ENSG00000085999
LRRC41_IL2410574	ENSG00000132128
NSUN4_IL2334706	ENSG00000117481
FAAH_IL2334740	ENSG00000117480
CYP4B1_IL2334932	ENSG00000142973
PDZK1IP1_IL2411173	ENSG00000162366
TAL1_IL2411198	ENSG00000162367
STIL_IL2411228	ENSG00000123473
CMPK1_IL2335132	ENSG00000162368
FOXD2_IL2335172	ENSG00000186564
SPATA6_IL2411575	ENSG00000132122
BEND5_IL2411799	ENSG00000162373
FAF1_IL2412082	ENSG00000185104
CDKN2C_IL2335922	ENSG00000123080
RNF11_IL2335986	ENSG00000123091
TTC39A_IL2412312	ENSG00000085831
EPS15_IL2412360	ENSG00000085832
OSBPL9_IL2336099	ENSG00000117859
NRD1_IL2412529	ENSG00000078618
KTI12_IL2412690	ENSG00000198841
TXNDC12_IL2412668	ENSG00000117862
BTF3L4_IL2336271	ENSG00000134717
ZFYVE9_IL2336302	ENSG00000157077
CC2D1B_IL2412740	ENSG00000154222
PRPF38A_IL2336383	ENSG00000134748
ZCCHC11_IL2412834	ENSG00000134744
GPX7_IL2336439	ENSG00000116157
FAM159A_IL2336456	ENSG00000182183
RPS13_IL2413008	ENSG00000110700
ZYG11B_IL2336497	ENSG00000162378
ECHDC2_IL2413032	ENSG00000121310
SCP2_IL2336585	ENSG00000116171
PODN_IL2336650	ENSG00000174348
SLC1A7_IL2413115	ENSG00000162383
CPT2_IL2336706	ENSG00000157184
C1orf123_IL2413153	ENSG00000162384
MAGOH_IL2413180	ENSG00000162385
LRP8_IL2413203	ENSG00000157193
YIPF1_IL2413484	ENSG00000058799
DIO1_IL2336891	ENSG00000211452
HSPB11_IL2413519	ENSG00000081870
LRRC42_IL2336913	ENSG00000116212
TMEM59_IL2413578	ENSG00000116209
CYB5RL_IL2413633	ENSG00000215883
MRPL37_IL2337003	ENSG00000157216
SSBP3_IL2413685	ENSG00000198711
FAM151A_IL2413846	ENSG00000162390
TTC4_IL2337285	ENSG00000243725
PARS2_IL2413879	ENSG00000162396
TTC22_IL2413886	ENSG00000006555
C1orf177_IL2337327	ENSG00000162398
DHCR24_IL2413907	ENSG00000116133
USP24_IL2413943	ENSG00000162402
PRKAA2_IL2337716	ENSG00000162407
DAB1_IL2414558	ENSG00000162600
TACSTD2_IL2414958	ENSG00000184292
MYSM1_IL2414998	ENSG00000162601
JUN_IL2415084	ENSG00000177606
FGGY_IL2338487	ENSG00000172456
HOOK1_IL2338625	ENSG00000134709
CYP2J2_IL2415266	ENSG00000134716
C1orf87_IL2415295	ENSG00000162598
NFIA_IL2338719	ENSG00000162599
TM2D1_IL2415728	ENSG00000162604
INADL_IL2339139	ENSG00000132849
L1TD1_IL2339334	ENSG00000240563
USP1_IL2339414	ENSG00000162607
