Probe	Ensembl	Correlation
2070477	ENSG00000214700	-0.06934703
6270615	ENSG00000073605	0.692482838
6290475	ENSG00000138411	0.650606522
6450088	ENSG00000260966	0.628690206
1430524	ENSG00000111144	0.472528227
380669	ENSG00000156384	0.60588128
6370594	ENSG00000205808	0.734681755
4730187	ENSG00000131849	0.203852099
1070639	ENSG00000074201	0.667596165
7510634	ENSG00000170412	0.380786229
7330360	ENSG00000105877	-0.013342473
830239	ENSG00000189238	0.040942703
2940671	ENSG00000107816	0.336505855
2690189	ENSG00000131797	0.549753377
6580612	ENSG00000120253	0.574028078
7150224	ENSG00000048392	0.714496991
3420554	ENSG00000168078	0.343925628
840273	ENSG00000002016	-0.008190628
70646	ENSG00000162909	0.361895808
2940722	ENSG00000054267	0.716436671
6620292	ENSG00000107738	0.72448221
360673	ENSG00000120451	0.275830822
4480592	ENSG00000176108	0.709492474
2650538	ENSG00000196151	0.693236334
360017	ENSG00000055211	0.439742221
940066	ENSG00000006576	0.645160696
4730341	ENSG00000165115	0.699544804
2760148	ENSG00000137070	0.665425396
6900703	ENSG00000104728	0.558883569
460504	ENSG00000144648	0.385725496
5290593	ENSG00000130005	0.646419969
2470600	ENSG00000102781	0.52658645
2940017	ENSG00000184602	0.634274739
5290626	ENSG00000119669	0.456410908
1400253	ENSG00000113522	0.395555687
2650148	ENSG00000164253	0.384810488
830687	ENSG00000106069	0.524675614
5050047	ENSG00000158941	0.548884959
130609	ENSG00000090920	0.715975865
430224	ENSG00000111642	0.448173374
3130541	ENSG00000162063	0.631290688
1010435	ENSG00000143751	0.725795515
1820450	ENSG00000170909	0.746080166
4060438	ENSG00000185633	0.131639535
2680243	ENSG00000256128	0.050139702
2570685	ENSG00000225766	0.454645801
5080280	ENSG00000185033	0.745539879
7380709	ENSG00000166913	0.466993126
6330224	ENSG00000129467	0.614885211
2760494	ENSG00000197724	0.307997627
7150682	ENSG00000048405	0.679156774
1240386	ENSG00000162413	0.506979539
6480561	ENSG00000219481	0.350301164
6770204	ENSG00000133895	0.648414769
6760079	ENSG00000248858	-0.373099751
4070189	ENSG00000163806	0.044186273
6960022	ENSG00000184702	0.680855632
1090239	ENSG00000189091	0.537049848
4280136	ENSG00000130706	0.764007643
