Probe	Ensembl	Correlation
ENSG00000149305	ENSG00000149305	1
ENSG00000149575	ENSG00000149575	1
ENSG00000149599	ENSG00000149599	1
ENSG00000149735	ENSG00000149735	1
ENSG00000150630	ENSG00000150630	1
ENSG00000150656	ENSG00000150656	1
ENSG00000150873	ENSG00000150873	1
ENSG00000151468	ENSG00000151468	1
ENSG00000151575	ENSG00000151575	1
ENSG00000152192	ENSG00000152192	1
ENSG00000152580	ENSG00000152580	1
ENSG00000152760	ENSG00000152760	1
ENSG00000152785	ENSG00000152785	1
ENSG00000152932	ENSG00000152932	1
ENSG00000153086	ENSG00000153086	1
ENSG00000153347	ENSG00000153347	1
ENSG00000153404	ENSG00000153404	1
ENSG00000153714	ENSG00000153714	1
ENSG00000153904	ENSG00000153904	1
ENSG00000153976	ENSG00000153976	1
ENSG00000154065	ENSG00000154065	1
ENSG00000154133	ENSG00000154133	1
ENSG00000154175	ENSG00000154175	1
ENSG00000154240	ENSG00000154240	1
ENSG00000154277	ENSG00000154277	1
ENSG00000154380	ENSG00000154380	1
ENSG00000154608	ENSG00000154608	1
ENSG00000154611	ENSG00000154611	1
ENSG00000154645	ENSG00000154645	1
ENSG00000154783	ENSG00000154783	1
ENSG00000155011	ENSG00000155011	1
ENSG00000155026	ENSG00000155026	1
ENSG00000155754	ENSG00000155754	1
ENSG00000156049	ENSG00000156049	1
ENSG00000156689	ENSG00000156689	1
ENSG00000157087	ENSG00000157087	1
ENSG00000157423	ENSG00000157423	1
ENSG00000157510	ENSG00000157510	1
ENSG00000157782	ENSG00000157782	1
ENSG00000158315	ENSG00000158315	1
ENSG00000158560	ENSG00000158560	1
ENSG00000158764	ENSG00000158764	1
ENSG00000158816	ENSG00000158816	1
ENSG00000158874	ENSG00000158874	1
ENSG00000159166	ENSG00000159166	1
ENSG00000159860	ENSG00000159860	1
ENSG00000159905	ENSG00000159905	1
ENSG00000160161	ENSG00000160161	1
ENSG00000160188	ENSG00000160188	1
ENSG00000160207	ENSG00000160207	1
ENSG00000160321	ENSG00000160321	1
ENSG00000160471	ENSG00000160471	1
ENSG00000160505	ENSG00000160505	1
ENSG00000161082	ENSG00000161082	1
ENSG00000161243	ENSG00000161243	1
ENSG00000161281	ENSG00000161281	1
ENSG00000162391	ENSG00000162391	1
ENSG00000162571	ENSG00000162571	1
ENSG00000162594	ENSG00000162594	1
ENSG00000162598	ENSG00000162598	1
ENSG00000162620	ENSG00000162620	1
ENSG00000162627	ENSG00000162627	1
ENSG00000162631	ENSG00000162631	1
ENSG00000162692	ENSG00000162692	1
ENSG00000162723	ENSG00000162723	1
ENSG00000162878	ENSG00000162878	1
ENSG00000162896	ENSG00000162896	1
ENSG00000162949	ENSG00000162949	1
ENSG00000163016	ENSG00000163016	1
ENSG00000163017	ENSG00000163017	1
ENSG00000163040	ENSG00000163040	1
ENSG00000163060	ENSG00000163060	1
ENSG00000163071	ENSG00000163071	1
ENSG00000163121	ENSG00000163121	1
ENSG00000163263	ENSG00000163263	1
ENSG00000163293	ENSG00000163293	1
ENSG00000163362	ENSG00000163362	1
ENSG00000163467	ENSG00000163467	1
ENSG00000163491	ENSG00000163491	1
ENSG00000163631	ENSG00000163631	1
ENSG00000163666	ENSG00000163666	1
ENSG00000163684	ENSG00000163684	1
ENSG00000163710	ENSG00000163710	1
ENSG00000163746	ENSG00000163746	1
ENSG00000163817	ENSG00000163817	1
ENSG00000163827	ENSG00000163827	1
ENSG00000163873	ENSG00000163873	1
ENSG00000163879	ENSG00000163879	1
ENSG00000164112	ENSG00000164112	1
ENSG00000164175	ENSG00000164175	1
ENSG00000164236	ENSG00000164236	1
ENSG00000164379	ENSG00000164379	1
ENSG00000164458	ENSG00000164458	1
ENSG00000164591	ENSG00000164591	1
ENSG00000164604	ENSG00000164604	1
ENSG00000164684	ENSG00000164684	1
ENSG00000164729	ENSG00000164729	1
ENSG00000164756	ENSG00000164756	1
ENSG00000164879	ENSG00000164879	1
ENSG00000164946	ENSG00000164946	1
ENSG00000164949	ENSG00000164949	1
ENSG00000164972	ENSG00000164972	1
ENSG00000165066	ENSG00000165066	1
ENSG00000165152	ENSG00000165152	1
ENSG00000165269	ENSG00000165269	1
ENSG00000165300	ENSG00000165300	1
ENSG00000165633	ENSG00000165633	1
ENSG00000165685	ENSG00000165685	1
ENSG00000165757	ENSG00000165757	1
ENSG00000165828	ENSG00000165828	1
ENSG00000165887	ENSG00000165887	1
ENSG00000165912	ENSG00000165912	1
ENSG00000166073	ENSG00000166073	1
ENSG00000166153	ENSG00000166153	1
ENSG00000166535	ENSG00000166535	1
ENSG00000166664	ENSG00000166664	1
ENSG00000166796	ENSG00000166796	1
ENSG00000166823	ENSG00000166823	1
ENSG00000166922	ENSG00000166922	1
ENSG00000167046	ENSG00000167046	1
ENSG00000167183	ENSG00000167183	1
ENSG00000167419	ENSG00000167419	1
ENSG00000167751	ENSG00000167751	1
ENSG00000167771	ENSG00000167771	1
ENSG00000167889	ENSG00000167889	1
ENSG00000168078	ENSG00000168078	1
ENSG00000168269	ENSG00000168269	1
ENSG00000168282	ENSG00000168282	1
ENSG00000168298	ENSG00000168298	1
ENSG00000168309	ENSG00000168309	1
ENSG00000168356	ENSG00000168356	1
ENSG00000168594	ENSG00000168594	1
ENSG00000168772	ENSG00000168772	1
ENSG00000168952	ENSG00000168952	1
ENSG00000169071	ENSG00000169071	1
ENSG00000169181	ENSG00000169181	1
ENSG00000169495	ENSG00000169495	1
ENSG00000169575	ENSG00000169575	1
ENSG00000169908	ENSG00000169908	1
ENSG00000170011	ENSG00000170011	1
ENSG00000170091	ENSG00000170091	1
ENSG00000170153	ENSG00000170153	1
ENSG00000170160	ENSG00000170160	1
ENSG00000170356	ENSG00000170356	1
ENSG00000170484	ENSG00000170484	1
